"","Type","Scenario","BMSY","MSY","MSY_BMSY","Prop_MSY","Prop_BMSY"
"1","All Species","Landings and Discards - Avg. ASP",66232879.9773065,696232.18624692,0.0105118815078775,0.965559641939713,0.0450563505806938
"2","All Species","Landings and Discards - Avg. Harvest",66181366.3671465,697028.817986642,0.0105321007444878,0.964456107283017,0.0450914211059255
"3","Harvested Species","Landings and Discards - Avg. ASP",6946543.44577468,649263.604468632,0.0934657084544046,0.993418957275033,0.343932050399527
"4","Harvested Species","Landings and Discards - Avg. Catch",6987793.19711468,669765.890475021,0.0958479839889327,0.963009287454768,0.341901779732288
"5","SEDAR Species","Landings and Discards - Avg. ASP",1484211.11281484,505194.364905566,0.340379047524752,0.998270549399769,0.996586125601505
"6","SEDAR Species","Landings and Discards - Avg. Catch",1484234.12504484,505180.565608622,0.34036447288487,0.998297817732479,0.996570674084288
"7","Resident Species","Landings and Discards - Avg. ASP",66101600.5305549,674752.234169339,0.0102078047846578,0.964104645849036,0.0432751142531355
"8","Resident Species","Landings and Discards - Avg. Catch",66041399.6818949,675306.881286839,0.0102255083105389,0.963312801611095,0.0433145622148147
"9","All Species","Landings Only - Avg. ASP",66186603.754345,678096.885621435,0.0102452285984975,0.966405594087791,0.0443846842785989
"10","All Species","Landings Only - Avg. Harvest",66134854.055487,678894.58319235,0.01026530704404,0.965270072588565,0.0444194147407451
"11","Harvested Species","Landings Only - Avg. ASP",6900267.22281314,631128.303843147,0.0914643278968325,0.99512839506962,0.339493892878895
"12","Harvested Species","Landings Only - Avg. Catch",6941280.88545519,651631.655680729,0.0938777246496626,0.963817043894751,0.337487939190902
"13","SEDAR Species","Landings Only - Avg. ASP",1480389.16921948,498508.708014026,0.336741661165259,0.998390632493995,0.996398895245579
"14","SEDAR Species","Landings Only - Avg. Catch",1480176.09275153,498495.974548275,0.336781533622536,0.998416135153143,0.996542330312736
"15","Resident Species","Landings Only - Avg. ASP",66055262.5843549,656870.127689111,0.00994425125250641,0.964951600514113,0.0425999705825964
"16","Resident Species","Landings Only - Avg. Catch",65994825.6469969,657425.840637804,0.00996177858176855,0.964135940304062,0.0426389829101283
